analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + LM5,Net benefit,0.109 (0.100 to 0.118),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + early mean MAP,Alert rate,0.378 (0.367 to 0.387),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + early mean MAP,Sensitivity,0.668 (0.647 to 0.688),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + early mean MAP,PPV,0.463 (0.446 to 0.481),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + early mean MAP,"False-positive alerts per 1,000",202.8 (194.4 to 211.3),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + early mean MAP,Alerts per event captured,2.16 (2.08 to 2.24),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + early mean MAP,Net benefit,0.107 (0.098 to 0.117),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + landmark MAP <65,Alert rate,0.429 (0.418 to 0.439),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + landmark MAP <65,Sensitivity,0.732 (0.714 to 0.750),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + landmark MAP <65,PPV,0.447 (0.431 to 0.463),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + landmark MAP <65,"False-positive alerts per 1,000",237.3 (228.2 to 246.3),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + landmark MAP <65,Alerts per event captured,2.24 (2.16 to 2.32),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,strategy,Severe early burden + landmark MAP <65,Net benefit,0.112 (0.103 to 0.122),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus early mean MAP,Alert rate,-0.039 (-0.045 to -0.032),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus early mean MAP,Sensitivity,-0.031 (-0.044 to -0.018),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus early mean MAP,PPV,0.029 (0.020 to 0.038),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus early mean MAP,"False-positive alerts per 1,000",-30.5 (-35.8 to -24.9),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus early mean MAP,Alerts per event captured,-0.13 (-0.17 to -0.09),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus early mean MAP,Net benefit,0.002 (-0.002 to 0.006),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus landmark MAP <65,Alert rate,-0.090 (-0.097 to -0.083),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus landmark MAP <65,Sensitivity,-0.095 (-0.109 to -0.082),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus landmark MAP <65,PPV,0.045 (0.036 to 0.054),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus landmark MAP <65,"False-positive alerts per 1,000",-65.0 (-70.9 to -59.0),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus landmark MAP <65,Alerts per event captured,-0.21 (-0.25 to -0.16),post-U0 exploratory full-workflow comparison
Complete two-branch landmark workflow,0.25,paired difference,Severe early burden + LM5 minus landmark MAP <65,Net benefit,-0.003 (-0.008 to 0.001),post-U0 exploratory full-workflow comparison
