analysis_block,threshold,row_type,strategy_or_contrast,metric,estimate_95CI,analysis_label
Stage-2 fixed threshold,0.2,paired difference,LM5 minus landmark MAP <65,PPV,0.009 (-0.001 to 0.018),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,paired difference,LM5 minus landmark MAP <65,"False-positive alerts per 1,000",-19.4 (-24.9 to -13.9),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,paired difference,LM5 minus landmark MAP <65,Alerts per event captured,-0.07 (-0.14 to 0.00),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,paired difference,LM5 minus landmark MAP <65,Net benefit,-0.002 (-0.005 to 0.002),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.2,decision reference,Alert all,Net benefit,-0.0065 (point estimate),decision-curve reference from frozen cohort prevalence; no bootstrap interval
Stage-2 fixed threshold,0.2,decision reference,Alert none,Net benefit,0.0000 (point estimate),decision-curve reference from frozen cohort prevalence; no bootstrap interval
Stage-2 fixed threshold,0.25,strategy,LM5 common-18,Alert rate,0.208 (0.199 to 0.217),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,LM5 common-18,Sensitivity,0.416 (0.390 to 0.443),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,LM5 common-18,PPV,0.389 (0.364 to 0.414),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,LM5 common-18,"False-positive alerts per 1,000",127.2 (119.4 to 134.9),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,LM5 common-18,Alerts per event captured,2.57 (2.42 to 2.74),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,LM5 common-18,Net benefit,0.039 (0.032 to 0.046),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Early mean MAP model,Alert rate,0.255 (0.244 to 0.264),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Early mean MAP model,Sensitivity,0.466 (0.439 to 0.492),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Early mean MAP model,PPV,0.357 (0.335 to 0.378),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Early mean MAP model,"False-positive alerts per 1,000",163.7 (155.4 to 172.2),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Early mean MAP model,Alerts per event captured,2.80 (2.64 to 2.99),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Early mean MAP model,Net benefit,0.036 (0.029 to 0.044),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,strategy,Landmark MAP <65 rule,Alert rate,0.316 (0.305 to 0.327),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,strategy,Landmark MAP <65 rule,Sensitivity,0.569 (0.542 to 0.595),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,strategy,Landmark MAP <65 rule,PPV,0.351 (0.331 to 0.370),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,strategy,Landmark MAP <65 rule,"False-positive alerts per 1,000",205.1 (196.0 to 214.6),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,strategy,Landmark MAP <65 rule,Alerts per event captured,2.85 (2.70 to 3.02),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,strategy,Landmark MAP <65 rule,Net benefit,0.043 (0.034 to 0.051),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,paired difference,LM5 minus early mean MAP,Alert rate,-0.046 (-0.053 to -0.039),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,paired difference,LM5 minus early mean MAP,Sensitivity,-0.050 (-0.070 to -0.030),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,paired difference,LM5 minus early mean MAP,PPV,0.032 (0.017 to 0.048),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,paired difference,LM5 minus early mean MAP,"False-positive alerts per 1,000",-36.5 (-42.9 to -30.2),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,paired difference,LM5 minus early mean MAP,Alerts per event captured,-0.23 (-0.34 to -0.13),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,paired difference,LM5 minus early mean MAP,Net benefit,0.002 (-0.002 to 0.007),prespecified sensitivity operating scenario; paired patient bootstrap
Stage-2 fixed threshold,0.25,paired difference,LM5 minus landmark MAP <65,Alert rate,-0.108 (-0.115 to -0.100),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,paired difference,LM5 minus landmark MAP <65,Sensitivity,-0.153 (-0.174 to -0.132),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,paired difference,LM5 minus landmark MAP <65,PPV,0.038 (0.023 to 0.054),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,paired difference,LM5 minus landmark MAP <65,"False-positive alerts per 1,000",-77.9 (-84.7 to -70.9),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,paired difference,LM5 minus landmark MAP <65,Alerts per event captured,-0.28 (-0.39 to -0.17),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,paired difference,LM5 minus landmark MAP <65,Net benefit,-0.004 (-0.009 to 0.001),post-U0 exploratory current-state benchmark
Stage-2 fixed threshold,0.25,decision reference,Alert all,Net benefit,-0.0736 (point estimate),decision-curve reference from frozen cohort prevalence; no bootstrap interval
Stage-2 fixed threshold,0.25,decision reference,Alert none,Net benefit,0.0000 (point estimate),decision-curve reference from frozen cohort prevalence; no bootstrap interval
